719,145
719,145
719,145
611,62
603,57
603,56
603,57
568,32
568,32
568,32
553,22
553,22
542,15
542,15
534,10
534,10
534,10
530,8
530,8
530,8
515,1
515,1
520,4
520,3
523,4
522,4
523,4
515,2
515,2
447,0
446,0
401,0
344,0
345,0
344,0
283,0
201,0
524,5
126,0
61,0
61,0
0,0
231,0
307,0
450,0
451,0
450,0
506,0
517,2
525,5
530,8
550,19
549,19
554,22
554,23
561,28
577,38
640,84
648,91
929,320
972,357
972,358
976,359
973,357
971,355
975,359
977,361
976,360
932,323
939,329
932,323
948,336
950,338
725,152
726,153
728,154
938,328
939,329
928,320
717,146
713,142
602,57
603,57
577,38
571,33
559,26
558,25
558,26
575,36
574,36
553,22
563,29
563,29
562,28
563,28
563,28
563,28
760,178
612,63
570,33
552,20
538,12
528,7
517,2
476,0
370,0
230,0
132,0
466,0
521,4
537,12
599,53
599,53
989,369
989,370
974,357
625,74
942,330
746,168
634,80
944,331
706,137
709,139
723,150
733,157
943,331
941,330
937,327
716,144
713,142
