1;383
1;442
1;418
1;496
2;684
1;430
1;494
1;471
2;706
1;409
3;609
1;398
2;449
2;674
1;1051
1;362
3;469
3;571
2;375
3;825
2;472
1;514
2;1169
2;632
2;395
1;511
2;460
1;525
2;586
2;676
1;644
2;605
3;606
3;731
3;477
2;509
2;870
2;463
1;556
3;428
3;893
1;534
3;482
2;813
2;965
3;390
2;698
2;731
2;879
2;447
1;555
2;481
2;470
2;363
2;479
2;349
1;583
2;489
2;330
2;327
3;628
2;551
3;584
1;561
1;833
2;788
3;592
2;475
3;524
1;535
3;498
2;572
2;446
3;387
3;1321
2;543
1;510
3;9
1;817
1;623
1;398
2;597
2;658
3;5
2;487
1;1002
2;440
1;497
1;429
3;400
2;514
2;469
2;390
1;484
1;550
3;688
3;569
1;581
2;854
2;722
3;629
1;506
2;1120
3;382
2;465
3;558
2;873
1;601
3;479
2;528
2;733
1;543
3;618
3;462
3;633
1;386
2;491
3;421
3;404
2;456
2;653
1;470
3;362
2;500
2;367
3;327
1;491
1;414
3;578
2;485
