594,27
594,26
594,27
594,27
594,27
594,26
594,27
594,27
594,26
594,26
531,24
314,13
313,13
314,13
271,11
270,11
259,10
249,10
244,10
219,8
218,8
219,9
170,6
171,6
150,5
141,5
140,5
110,3
109,3
100,3
79,2
74,2
42,0
43,0
43,0
43,0
57,1
57,1
57,1
57,1
141,5
141,5
173,6
174,6
173,6
174,6
219,8
219,8
218,8
332,14
353,15
352,15
314,13
369,16
368,16
442,19
490,21
646,29
588,26
789,36
790,36
751,34
791,36
994,46
995,46
995,46
1018,47
1019,47
1018,47
1018,47
1010,47
1012,47
1011,47
1002,46
719,33
718,33
718,33
736,33
868,40
868,40
868,40
868,40
868,40
868,40
868,40
868,40
868,40
374,16
290,12
193,7
131,4
98,3
26,0
205,8
288,12
415,18
375,16
317,14
746,35
509,23
634,30
744,35
1018,49
1018,49
1015,48
924,44
759,36
946,44
947,44
