768,188
767,188
768,188
771,190
765,186
507,24
507,24
495,19
480,12
478,11
478,11
478,11
464,5
464,5
464,5
456,3
449,1
449,1
438,0
325,0
325,0
257,0
168,0
217,0
216,0
212,0
128,0
464,5
465,5
465,5
471,8
143,0
472,8
477,10
476,10
477,10
477,10
479,11
484,13
483,13
484,13
485,14
494,18
486,14
486,14
500,21
500,21
506,24
520,31
520,31
520,31
538,41
952,322
948,320
947,320
948,320
976,342
977,344
976,344
977,344
977,345
979,346
923,303
909,293
720,157
720,157
722,158
721,157
581,66
581,66
545,45
544,44
543,44
517,30
517,30
499,21
233,0
210,0
491,16
505,24
506,24
535,40
551,48
551,48
560,53
586,69
587,69
587,69
587,69
598,76
917,297
917,297
917,298
917,298
954,327
956,329
956,329
956,329
661,118
631,96
663,119
665,119
587,70
573,62
574,62
574,62
574,62
574,62
552,49
526,34
0,0
525,34
536,40
515,29
493,18
493,18
493,18
522,33
880,269
881,270
881,271
881,271
965,335
966,336
966,337
944,321
603,81
605,81
605,82
605,81
605,81
605,81
606,81
606,81
465,6
466,6
200,0
139,0
133,0
134,0
73,0
74,0
30,0
30,0
30,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
